 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
13 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 0.0364893490332
14 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 0.0319293398534
15 geo020s08a0136v01_0.889421_0.952324 0.782749414784 0.990471783624 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 0.291666836606
0 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 0.122213808358
1 geo020s08a0041v02_0.794568_0.920128 0.663441497818 0.621695720209 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 0.0242772744208
2 geo020s08a0042v02_0.6556_0.776615 0.44991213348 0.578389614387 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 0.0775775980877
3 geo020s08a0105v02_1.071435_1.144891 0.662719812375 0.27020826203 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 0.179028497822
4 geo020s08a0106v02_0.72895_0.797397 0.527714646309 0.802161084005 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 0.146840024716
5 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 0.122213808358
6 geo020s08a0041v02_0.794568_0.920128 0.663441497818 0.621695720209 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 0.231775015543
7 geo020s08a0042v02_0.6556_0.776615 0.44991213348 0.578389614387 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 0.314091440642
8 geo020s08a0105v02_1.071435_1.144891 0.662719812375 0.27020826203 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 0.0320155183338
9 geo020s08a0106v02_0.72895_0.797397 0.527714646309 0.802161084005 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 0.0258747841617
10 geo020s08a0005v02_0.882052_0.968888 0.417022004703 0.720324493442 geo020s08a0041v02_0.794568_0.920128 0.663441497818 0.621695720209 0.0242772744208
11 geo020s08a0006v02_0.908954_0.977385 0.146755890817 0.0923385947688 geo020s08a0041v02_0.794568_0.920128 0.663441497818 0.621695720209 0.231775015543
