#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0048v01 -4.9031 -3.8610 -1.4270 2.4603 1.1023 0.7271 -1.9044 -2.4921 -1.7085 -4.9365 -6.8892 -4.5440 0.7291 7.2577 11.6830 10.7180 9.8793 4.4680 -3.8517 -6.6115 -7.6573 -8.5188 -19.7641 -21.7239 -7.5939 
geo020s08a0048v02 5.2224 -14.9288 -27.0456 -29.6011 -30.5744 -26.4590 -20.5604 -16.8500 -8.6090 12.5993 3.3753 11.9389 -19.7583 -49.0690 -40.4126 -19.6329 22.7980 42.6621 56.1679 47.6993 25.8013 -9.6211 -29.8081 -29.8645 -18.3466 
geo020s08a0053v02 -35.1086 -29.1405 -12.4444 -3.8836 0.4253 -3.0003 -5.4613 -14.0225 -13.5793 -12.3087 0.0584 7.1749 12.0336 14.6542 14.4617 11.4355 4.2029 2.3662 2.9138 4.5040 0.7783 -5.4947 -8.1460 -9.2960 -4.0060 
geo020s08a0054v01 -14.8125 10.4223 26.2636 30.3966 23.6256 13.2441 1.5312 -10.1848 -16.0089 -11.7760 1.5059 14.6801 16.6853 10.4940 2.7051 -1.4202 1.2055 1.5218 -0.7702 -1.2790 -2.1565 -6.6625 -11.6201 -13.8428 -14.4865 
geo020s08a0054v02 -2.2432 0.9091 3.1461 1.9149 -0.3868 -10.6164 -4.3432 0.8612 2.4022 -0.2246 -1.6242 -0.9645 0.9676 0.6795 -1.8268 -4.4866 -5.2005 -6.6357 -6.1764 -1.5718 3.3889 10.1561 11.2169 9.9991 4.8879 
geo020s08a0055v01 -3.8125 -5.4497 -12.5319 -27.1037 -39.2299 -35.9289 -16.2020 14.9399 31.1892 30.5624 16.3155 -6.7813 -24.5236 -29.4300 -16.5783 -0.3394 7.4061 7.7561 6.8038 9.4439 15.0566 23.2016 26.9344 25.2957 21.9782 
geo020s08a0055v02 3.7501 -15.6480 -5.3806 -1.6278 -10.0024 -0.6670 1.3564 -3.1381 -5.8625 -6.2094 -10.5918 -5.9743 -3.2359 7.3148 9.7069 12.7039 2.3382 16.2885 18.8822 18.2958 15.0964 7.9354 -19.2797 -29.0446 -23.3236 
geo020s08a0056v01 12.7942 17.3163 12.8687 6.5562 -8.0767 -24.3403 -24.6740 3.6398 26.5606 22.7865 5.8698 -9.1813 -94.2783 -25.0500 3.4564 2.7524 -0.4624 20.9747 44.3259 42.6894 15.3069 8.2598 -2.4368 -14.4066 -22.0222 
geo020s08a0056v02 3.7929 11.2703 9.0515 2.9350 -7.9618 -16.5736 -10.5899 8.0479 17.4030 16.7735 13.3148 3.9640 -6.8748 -16.1278 -20.8546 -16.7373 -7.9224 3.1873 5.8834 2.3498 1.5448 -1.1405 -3.2989 -3.1332 -4.0880 
geo020s08a0057v01 -4.5146 5.8177 11.7831 10.8250 6.0690 1.1129 -2.8947 -9.6851 -12.0386 -6.1183 0.5531 7.3296 11.3389 8.7688 4.6117 -0.1143 0.4384 -0.0366 2.0474 -6.9026 -22.9768 -28.7671 -6.5683 21.9870 30.2528 
